Kód lokace;Èíslo zboí;Èíslo zboí dodavatele;Kód varianty;Popis zboí;Popis varianty;Zásoba;Prodejní jednotka;Jednotková cena;DPH %;Cena vè. DPH;Èárové kódy
01;82956;82956;;GranCarno granule SENIOR 1 kg;;0;KS;72;15;82,8;4017721829564
01;82957;82957;;GranCarno granule SENIOR 2,5kg;;0;KS;167,57;15;192,7;4017721829571
01;82958;82958;;GranCarno granule SENIOR12,5kg;;0;KS;772,87;15;888,8;4017721829588
01;82959;82959;;GranCarno Mix&Fertig 1,75 kg;;0;KS;119,3;15;137,2;4017721829595
01;82960;82960;;GranCarno Mix&Fertig 6,5 kg;;2;KS;411,48;15;473,2;4017721829601
01;82976;82976;;ANIMONDA paštika JUNIOR - s drùbeími játry 150g;;428;KS;18;15;20,7;4017721829762
01;82977;82977;;ANIMONDA paštika MARE - drùbeí + treska obecná pro psy 150g;;467;KS;18;15;20,7;4017721829779
01;82978;82978;;ANIMONDA paštika MARE - kuøe + treska pro psy 150 g;;653;KS;18;15;20,7;4017721829786
01;82979;82979;;ANIMONDA paštika FOREST - s jelením masem pro psy 150 g;;304;KS;18;15;20,7;4017721829793
01;82980;82980;;ANIMONDA paštika FOREST - s králíkem pro psy 150 g;;198;KS;18;15;20,7;4017721826617, 4017721829809
01;82981;82981;;ANIMONDA paštika SENIOR - krùtí srdíèka pro starší psy 150 g;;323;KS;18;15;20,7;4017721829816
01;83101;8009470020305;;GRAN BONTA paštika s hovìzím masem pro koèky 100g;;485;KS;9,57;15;11;8009470020305
01;83102;8009470020312;;GRAN BONTA paštika s kuøecím masem pro koèky 100g;;55;KS;9,57;15;11;8009470020312
01;83103;8009470020329;;GRAN BONTA paštika s tuòákem pro koèky 100g;;305;KS;9,57;15;11;8009470020329
01;83105;8009470020343;;GRAN BONTA paštika s lososem pro koèky 100g;;504;KS;9,57;15;11;8009470020343
01;83120;8009470300001;;GEMON paštika s hovìzím a telecím masem pro koèky 100 g;;145;KS;4,43;15;5,1;8009470300001
01;83125;8009470300223;;GEMON paštika s lososem a moøskou rybou pro koèky 100 g;;178;KS;4,43;15;5,1;8009470300223
01;83130;8009470006897;;MONGE NATURAL kapsièka tuòák v elé s lososem pro koèky 80 g;;347;KS;15,83;15;18,2;8009470006897
01;83131;8009470006880;;MONGE NATURAL kapsièka tuòák v elé se sledìm pro koèky 80 g;;265;KS;15,83;15;18,2;8009470006880
01;83132;8009470006903;;MONGE NATURAL kapsièka tuòák v elé s krevetami pro koèky80g;;259;KS;15,83;15;18,2;8009470006903
01;83133;8009470006873;;MONGE NATURAL kapsièka tuòák v elé pro koèky 80 g;;-5;KS;15,83;15;18,2;8009470006873
01;83165;83165;;ANIMONDA paštika Jubilee 20 jehnìèí+rozmarın pro koèky 100 g;;0;KS;11,48;15;13,2;4017721831659
01;83166;83166;;ANIMONDA paštika Jubilee20 kuøec.játra+jablka pro koèky 100g;;18;KS;11,48;15;13,2;4017721831666
01;83167;83167;;ANIMONDA paštika Jubilee 20 krùtí srdce+celer pro koèky 100g;;63;KS;11,48;15;13,2;4017721831673
01;83168;83168;;ANIMONDA paštika Jubilee 20 jelen+brusinky pro koèky 100 g;;0;KS;11,48;15;13,2;4017721831680
01;83169;83169;;ANIMONDA konzerva Jubilee 20 køepelka+houby pro koèky 400g;;0;KS;23,57;15;27,1;4017721831697
01;83170;83170;;ANIMONDA konzerva Jubilee 20 srnèí+brusinky pro koèky 400g;;0;KS;23,57;15;27,1;4017721831703
01;83171;83171;;ANIMONDA konzerva Jubilee 20 baant + šípky pro koèky 400g;;0;KS;23,57;15;27,1;4017721831710
01;83172;83172;;ANIMONDA konzerva Jubilee 20 hov.játra+jablka pro koèky 400g;;17;KS;23,57;15;27,1;4017721831727
01;83173;83173;;ANIMONDA konzerva Jubilee 20 treska + petrel pro koèky 400g;;0;KS;23,57;15;27,1;4017721831734
01;83177;83177;;MINI DISPLAY VOM FEINSEN 100g JUBILEE 300 paštik pro koèky;;0;KS;3 163,22;15;3 637,7;83177
01;83178;83178;;MINI DISPLAY CARNY 400g JUBILEE 125 konzerv pro koèky;;0;KS;2 863,22;15;3 292,7;83178
01;83200;83200;;ANIMONDA paštika CLASSIC - drùbe, telecí pro koèky 100g;;809;KS;13,57;15;15,6;4017721832007, 4017721834377
01;83202;83444;;ANIMONDA paštika MARE - losos,garnát pro koèky 100g;;616;KS;13,57;15;15,6;4017721832021
01;83203;83438;;ANIMONDA paštika CLASSIC - krùtí srdíèka pro koèky 100g;;563;KS;13,57;15;15,6;4017721832038, 4017721834384
